Istituto;Capienza regolamentare;Detenuti presenti totali;Mese;Tasso di sovraffollamento;Suicidi
"BERGAMO ""Don Fausto RESMINI""";315;479;01/05/22;152.06;0
"BERGAMO ""Don Fausto RESMINI""";315;487;01/06/22;154.6;0
"BERGAMO ""Don Fausto RESMINI""";315;505;01/07/22;160.32;0
"BERGAMO ""Don Fausto RESMINI""";315;526;01/08/22;166.98;0
"BERGAMO ""Don Fausto RESMINI""";315;515;01/09/22;163.49;0
"BERGAMO ""Don Fausto RESMINI""";319;533;01/10/22;167.08;0
"BERGAMO ""Don Fausto RESMINI""";319;544;01/11/22;170.53;0
"BERGAMO ""Don Fausto RESMINI""";319;536;01/12/22;168.03;0
"BERGAMO ""Don Fausto RESMINI""";319;534;01/01/23;167.4;0
"BERGAMO ""Don Fausto RESMINI""";319;524;01/02/23;164.26;0
"BERGAMO ""Don Fausto RESMINI""";319;515;01/03/23;161.44;0
"BERGAMO ""Don Fausto RESMINI""";319;536;01/04/23;168.03;0
"BERGAMO ""Don Fausto RESMINI""";319;542;01/05/23;169.91;0
"BERGAMO ""Don Fausto RESMINI""";319;534;01/06/23;167.4;0
"BERGAMO ""Don Fausto RESMINI""";319;526;01/07/23;164.89;0
"BERGAMO ""Don Fausto RESMINI""";319;534;01/08/23;167.4;0
"BERGAMO ""Don Fausto RESMINI""";319;537;01/09/23;168.34;0
"BERGAMO ""Don Fausto RESMINI""";319;549;01/10/23;172.1;0
"BERGAMO ""Don Fausto RESMINI""";319;556;01/11/23;174.29;0
"BERGAMO ""Don Fausto RESMINI""";319;562;01/12/23;176.18;0
"BERGAMO ""Don Fausto RESMINI""";319;559;01/01/24;175.24;0
"BERGAMO ""Don Fausto RESMINI""";319;552;01/02/24;173.04;0
"BERGAMO ""Don Fausto RESMINI""";319;567;01/03/24;177.74;0
"BERGAMO ""Don Fausto RESMINI""";319;582;01/04/24;182.45;0
"BERGAMO ""Don Fausto RESMINI""";319;571;01/05/24;179.0;0
"BERGAMO ""Don Fausto RESMINI""";319;575;01/06/24;180.25;0
"BERGAMO ""Don Fausto RESMINI""";319;570;01/07/24;178.68;0
"BERGAMO ""Don Fausto RESMINI""";319;571;01/08/24;179.0;0
"BERGAMO ""Don Fausto RESMINI""";319;579;01/09/24;181.5;0
"BERGAMO ""Don Fausto RESMINI""";319;576;01/10/24;180.56;0
"BERGAMO ""Don Fausto RESMINI""";319;586;01/11/24;183.7;0
"BERGAMO ""Don Fausto RESMINI""";319;587;01/12/24;184.01;0
"BERGAMO ""Don Fausto RESMINI""";319;575;01/01/25;180.25;0
"BERGAMO ""Don Fausto RESMINI""";319;587;01/02/25;184.01;0
"BERGAMO ""Don Fausto RESMINI""";319;592;01/03/25;185.58;0
BIELLA;395;520;01/01/19;131.65;0
BIELLA;395;497;01/02/19;125.82;0
BIELLA;395;510;01/03/19;129.11;0
BIELLA;395;520;01/04/19;131.65;0
BIELLA;395;508;01/05/19;128.61;0
BIELLA;395;517;01/06/19;130.89;0
BIELLA;395;519;01/07/19;131.39;0
BIELLA;395;540;01/08/19;136.71;0
BIELLA;395;527;01/09/19;133.42;1
BIELLA;395;525;01/10/19;132.91;0
BIELLA;395;543;01/11/19;137.47;1
BIELLA;395;567;01/12/19;143.54;0
BIELLA;395;554;01/01/20;140.25;0
BIELLA;395;552;01/02/20;139.75;0
BIELLA;395;547;01/03/20;138.48;0
BIELLA;393;516;01/04/20;131.3;0
BIELLA;393;503;01/05/20;127.99;0
BIELLA;393;492;01/06/20;125.19;0
BIELLA;393;499;01/07/20;126.97;1
BIELLA;393;506;01/08/20;128.75;0
BIELLA;393;509;01/09/20;129.52;0
BIELLA;393;502;01/10/20;127.74;0
BIELLA;393;492;01/11/20;125.19;0
BIELLA;393;472;01/12/20;120.1;0
BIELLA;393;470;01/01/21;119.59;0
BIELLA;391;466;01/02/21;119.18;0
BIELLA;391;456;01/03/21;116.62;0
BIELLA;391;429;01/04/21;109.72;0
BIELLA;391;422;01/05/21;107.93;0
BIELLA;391;382;01/06/21;97.7;0
BIELLA;391;380;01/07/21;97.19;0
BIELLA;391;375;01/08/21;95.91;0
BIELLA;391;363;01/09/21;92.84;0
BIELLA;391;359;01/10/21;91.82;0
BIELLA;391;375;01/11/21;95.91;0
BIELLA;391;372;01/12/21;95.14;0
BIELLA;391;356;01/01/22;91.05;0
BIELLA;391;349;01/02/22;89.26;0
BIELLA;391;349;01/03/22;89.26;0
BIELLA;391;352;01/04/22;90.03;0
BIELLA;391;356;01/05/22;91.05;0
BIELLA;391;359;01/06/22;91.82;0
BIELLA;391;365;01/07/22;93.35;0
BIELLA;391;378;01/08/22;96.68;0
BIELLA;391;384;01/09/22;98.21;0
BIELLA;391;382;01/10/22;97.7;0
BIELLA;393;401;01/11/22;102.04;0
BIELLA;393;415;01/12/22;105.6;0
BIELLA;393;408;01/01/23;103.82;0
BIELLA;393;381;01/02/23;96.95;0
BIELLA;395;355;01/03/23;89.87;0
BIELLA;395;317;01/04/23;80.25;0
BIELLA;270;318;01/05/23;117.78;0
BIELLA;395;349;01/06/23;88.35;0
BIELLA;395;352;01/07/23;89.11;0
BIELLA;395;350;01/08/23;88.61;0
BIELLA;395;374;01/09/23;94.68;0
BIELLA;395;375;01/10/23;94.94;0
BIELLA;395;377;01/11/23;95.44;0
BIELLA;395;371;01/12/23;93.92;0
BIELLA;395;368;01/01/24;93.16;0
BIELLA;394;349;01/02/24;88.58;0
BIELLA;394;325;01/03/24;82.49;0
BIELLA;394;321;01/04/24;81.47;0
BIELLA;394;334;01/05/24;84.77;0
BIELLA;394;358;01/06/24;90.86;0
BIELLA;394;369;01/07/24;93.65;0
BIELLA;394;395;01/08/24;100.25;0
BIELLA;394;436;01/09/24;110.66;0
BIELLA;394;466;01/10/24;118.27;0
BIELLA;394;501;01/11/24;127.16;0
BIELLA;394;502;01/12/24;127.41;0
BIELLA;392;496;01/01/25;126.53;0
BIELLA;392;502;01/02/25;128.06;0
BIELLA;392;495;01/03/25;126.28;0
"BOLLATE ""II C.R.""";1252;1264;01/01/19;100.96;0
"BOLLATE ""II C.R.""";1252;1238;01/02/19;98.88;1
"BOLLATE ""II C.R.""";1252;1260;01/03/19;100.64;0
"BOLLATE ""II C.R.""";1252;1272;01/04/19;101.6;0
"BOLLATE ""II C.R.""";1252;1282;01/05/19;102.4;0
"BOLLATE ""II C.R.""";1252;1277;01/06/19;102.0;0
"BOLLATE ""II C.R.""";1252;1296;01/07/19;103.51;0
"BOLLATE ""II C.R.""";1252;1366;01/08/19;109.11;0
"BOLLATE ""II C.R.""";1252;1348;01/09/19;107.67;0
"BOLLATE ""II C.R.""";1252;1353;01/10/19;108.07;0
"BOLLATE ""II C.R.""";1252;1370;01/11/19;109.42;0
"BOLLATE ""II C.R.""";1252;1347;01/12/19;107.59;0
"BOLLATE ""II C.R.""";1252;1344;01/01/20;107.35;0
"BOLLATE ""II C.R.""";1252;1329;01/02/20;106.15;0
"BOLLATE ""II C.R.""";1251;1295;01/03/20;103.52;0
"BOLLATE ""II C.R.""";1251;1160;01/04/20;92.73;0
"BOLLATE ""II C.R.""";1251;1144;01/05/20;91.45;0
"BOLLATE ""II C.R.""";1251;1142;01/06/20;91.29;0
"BOLLATE ""II C.R.""";1251;1165;01/07/20;93.13;0
"BOLLATE ""II C.R.""";1251;1167;01/08/20;93.29;0
"BOLLATE ""II C.R.""";1251;1156;01/09/20;92.41;0
"BOLLATE ""II C.R.""";1251;1224;01/10/20;97.84;0
"BOLLATE ""II C.R.""";1251;1262;01/11/20;100.88;0
"BOLLATE ""II C.R.""";1251;1241;01/12/20;99.2;0
"BOLLATE ""II C.R.""";1251;1233;01/01/21;98.56;0
"BOLLATE ""II C.R.""";1251;1232;01/02/21;98.48;0
"BOLLATE ""II C.R.""";1251;1209;01/03/21;96.64;0
"BOLLATE ""II C.R.""";1251;1197;01/04/21;95.68;0
"BOLLATE ""II C.R.""";1251;1214;01/05/21;97.04;0
"BOLLATE ""II C.R.""";1251;1221;01/06/21;97.6;0
"BOLLATE ""II C.R.""";1251;1229;01/07/21;98.24;0
"BOLLATE ""II C.R.""";1251;1259;01/08/21;100.64;0
"BOLLATE ""II C.R.""";1251;1269;01/09/21;101.44;0
"BOLLATE ""II C.R.""";1251;1310;01/10/21;104.72;1
"BOLLATE ""II C.R.""";1251;1328;01/11/21;106.16;0
"BOLLATE ""II C.R.""";1251;1352;01/12/21;108.07;0
"BOLLATE ""II C.R.""";1251;1355;01/01/22;108.31;0
"BOLLATE ""II C.R.""";1251;1317;01/02/22;105.28;0
"BOLLATE ""II C.R.""";1251;1337;01/03/22;106.87;0
"BOLLATE ""II C.R.""";1251;1364;01/04/22;109.03;0
"BOLLATE ""II C.R.""";1251;1382;01/05/22;110.47;0
"BOLLATE ""II C.R.""";1251;1379;01/06/22;110.23;1
"BOLLATE ""II C.R.""";1251;1387;01/07/22;110.87;0
"BOLLATE ""II C.R.""";1251;1426;01/08/22;113.99;0
"BOLLATE ""II C.R.""";1251;1414;01/09/22;113.03;0
"BOLLATE ""II C.R.""";1251;1418;01/10/22;113.35;0
"BOLLATE ""II C.R.""";1251;1391;01/11/22;111.19;0
"BOLLATE ""II C.R.""";1267;1396;01/12/22;110.18;0
"BOLLATE ""II C.R.""";1267;1355;01/01/23;106.95;0
"BOLLATE ""II C.R.""";1267;1314;01/02/23;103.71;0
"BOLLATE ""II C.R.""";1267;1291;01/03/23;101.89;1
"BOLLATE ""II C.R.""";1267;1281;01/04/23;101.1;0
"BOLLATE ""II C.R.""";1267;1274;01/05/23;100.55;0
"BOLLATE ""II C.R.""";1267;1261;01/06/23;99.53;0
"BOLLATE ""II C.R.""";1267;1344;01/07/23;106.08;0
"BOLLATE ""II C.R.""";1267;1370;01/08/23;108.13;0
"BOLLATE ""II C.R.""";1267;1386;01/09/23;109.39;0
"BOLLATE ""II C.R.""";1267;1395;01/10/23;110.1;0
"BOLLATE ""II C.R.""";1267;1386;01/11/23;109.39;0
"BOLLATE ""II C.R.""";1267;1418;01/12/23;111.92;0
"BOLLATE ""II C.R.""";1267;1411;01/01/24;111.37;0
"BOLLATE ""II C.R.""";1267;1395;01/02/24;110.1;0
"BOLLATE ""II C.R.""";1267;1438;01/03/24;113.5;0
"BOLLATE ""II C.R.""";1267;1450;01/04/24;114.44;0
"BOLLATE ""II C.R.""";1267;1464;01/05/24;115.55;0
"BOLLATE ""II C.R.""";1267;1476;01/06/24;116.5;0
"BOLLATE ""II C.R.""";1267;1455;01/07/24;114.84;0
"BOLLATE ""II C.R.""";1267;1456;01/08/24;114.92;0
"BOLLATE ""II C.R.""";1267;1443;01/09/24;113.89;0
"BOLLATE ""II C.R.""";1267;1427;01/10/24;112.63;0
"BOLLATE ""II C.R.""";1267;1423;01/11/24;112.31;0
"BOLLATE ""II C.R.""";1267;1389;01/12/24;109.63;0
"BOLLATE ""II C.R.""";1267;1385;01/01/25;109.31;0
"BOLLATE ""II C.R.""";1267;1363;01/02/25;107.58;0
"BOLLATE ""II C.R.""";1267;1362;01/03/25;107.5;0
"BOLOGNA ""R. D'AMATO""";500;855;01/09/19;171.0;0
"BOLOGNA ""R. D'AMATO""";500;879;01/10/19;175.8;0
"BOLOGNA ""R. D'AMATO""";500;870;01/11/19;174.0;0
"BOLOGNA ""R. D'AMATO""";500;851;01/12/19;170.2;0
"BOLOGNA ""R. D'AMATO""";500;871;01/01/20;174.2;0
"BOLOGNA ""R. D'AMATO""";500;891;01/02/20;178.2;0
"BOLOGNA ""R. D'AMATO""";500;781;01/03/20;156.2;0
"BOLOGNA ""R. D'AMATO""";500;690;01/04/20;138.0;0
"BOLOGNA ""R. D'AMATO""";500;656;01/05/20;131.2;0
"BOLOGNA ""R. D'AMATO""";500;674;01/06/20;134.8;1
"BOLOGNA ""R. D'AMATO""";500;706;01/07/20;141.2;0
"BOLOGNA ""R. D'AMATO""";500;722;01/08/20;144.4;0
"BOLOGNA ""R. D'AMATO""";500;735;01/09/20;147.0;0
"BOLOGNA ""R. D'AMATO""";500;722;01/10/20;144.4;1
"BOLOGNA ""R. D'AMATO""";500;731;01/11/20;146.2;0
"BOLOGNA ""R. D'AMATO""";500;671;01/12/20;134.2;0
"BOLOGNA ""R. D'AMATO""";500;687;01/01/21;137.4;0
"BOLOGNA ""R. D'AMATO""";500;746;01/02/21;149.2;0
"BOLOGNA ""R. D'AMATO""";500;743;01/03/21;148.6;0
"BOLOGNA ""R. D'AMATO""";500;739;01/04/21;147.8;0
"BOLOGNA ""R. D'AMATO""";500;741;01/05/21;148.2;0
"BOLOGNA ""R. D'AMATO""";500;744;01/06/21;148.8;0
"BOLOGNA ""R. D'AMATO""";500;711;01/07/21;142.2;0
"BOLOGNA ""R. D'AMATO""";500;736;01/08/21;147.2;0
"BOLOGNA ""R. D'AMATO""";502;756;01/09/21;150.6;0
"BOLOGNA ""R. D'AMATO""";502;774;01/10/21;154.18;0
"BOLOGNA ""R. D'AMATO""";502;772;01/11/21;153.78;0
"BOLOGNA ""R. D'AMATO""";502;759;01/12/21;151.2;0
"BOLOGNA ""R. D'AMATO""";502;772;01/01/22;153.78;0
"BOLOGNA ""R. D'AMATO""";502;763;01/02/22;151.99;0
"BOLOGNA ""R. D'AMATO""";502;766;01/03/22;152.59;0
"BOLOGNA ""R. D'AMATO""";502;745;01/04/22;148.41;0
"BOLOGNA ""R. D'AMATO""";502;748;01/05/22;149.0;1
"BOLOGNA ""R. D'AMATO""";502;761;01/06/22;151.59;0
"BOLOGNA ""R. D'AMATO""";502;736;01/07/22;146.61;0
"BOLOGNA ""R. D'AMATO""";502;741;01/08/22;147.61;0
"BOLOGNA ""R. D'AMATO""";502;743;01/09/22;148.01;0
"BOLOGNA ""R. D'AMATO""";502;756;01/10/22;150.6;0
"BOLOGNA ""R. D'AMATO""";502;756;01/11/22;150.6;0
"BOLOGNA ""R. D'AMATO""";502;753;01/12/22;150.0;0
"BOLOGNA ""R. D'AMATO""";502;773;01/01/23;153.98;0
"BOLOGNA ""R. D'AMATO""";502;759;01/02/23;151.2;0
"BOLOGNA ""R. D'AMATO""";502;772;01/03/23;153.78;0
"BOLOGNA ""R. D'AMATO""";502;765;01/04/23;152.39;0
"BOLOGNA ""R. D'AMATO""";502;772;01/05/23;153.78;0
"BOLOGNA ""R. D'AMATO""";498;787;01/06/23;158.03;0
"BOLOGNA ""R. D'AMATO""";498;795;01/07/23;159.64;0
"BOLOGNA ""R. D'AMATO""";498;792;01/08/23;159.04;0
"BOLOGNA ""R. D'AMATO""";498;802;01/09/23;161.04;0
"BOLOGNA ""R. D'AMATO""";498;791;01/10/23;158.84;0
"BOLOGNA ""R. D'AMATO""";498;806;01/11/23;161.85;0
"BOLOGNA ""R. D'AMATO""";498;814;01/12/23;163.45;0
"BOLOGNA ""R. D'AMATO""";498;803;01/01/24;161.24;0
"BOLOGNA ""R. D'AMATO""";498;831;01/02/24;166.87;0
"BOLOGNA ""R. D'AMATO""";498;845;01/03/24;169.68;0
"BOLOGNA ""R. D'AMATO""";498;851;01/04/24;170.88;1
"BOLOGNA ""R. D'AMATO""";498;839;01/05/24;168.47;0
"BOLOGNA ""R. D'AMATO""";498;837;01/06/24;168.07;0
"BOLOGNA ""R. D'AMATO""";498;831;01/07/24;166.87;0
"BOLOGNA ""R. D'AMATO""";503;838;01/08/24;166.6;0
"BOLOGNA ""R. D'AMATO""";503;819;01/09/24;162.82;0
"BOLOGNA ""R. D'AMATO""";503;834;01/10/24;165.81;0
"BOLOGNA ""R. D'AMATO""";503;839;01/11/24;166.8;0
"BOLOGNA ""R. D'AMATO""";507;833;01/12/24;164.3;0
"BOLOGNA ""R. D'AMATO""";507;839;01/01/25;165.48;0
"BOLOGNA ""R. D'AMATO""";507;782;01/02/25;154.24;1
"BOLOGNA ""R. D'AMATO""";457;782;01/03/25;171.12;0
"BOLOGNA ""R. D'AMATO""";500;778;01/01/19;155.6;0
"BOLOGNA ""R. D'AMATO""";500;787;01/02/19;157.4;0
"BOLOGNA ""R. D'AMATO""";500;818;01/03/19;163.6;0
"BOLOGNA ""R. D'AMATO""";500;803;01/04/19;160.6;1
"BOLOGNA ""R. D'AMATO""";500;827;01/05/19;165.4;1
"BOLOGNA ""R. D'AMATO""";500;855;01/06/19;171.0;0
"BOLOGNA ""R. D'AMATO""";500;853;01/07/19;170.6;0
"BOLOGNA ""R. D'AMATO""";500;842;01/08/19;168.4;0
BOLZANO;87;121;01/01/19;139.08;0
BOLZANO;87;126;01/02/19;144.83;0
BOLZANO;87;125;01/03/19;143.68;0
BOLZANO;87;112;01/04/19;128.74;0
BOLZANO;87;124;01/05/19;142.53;0
BOLZANO;87;121;01/06/19;139.08;0
BOLZANO;87;104;01/07/19;119.54;0
BOLZANO;87;116;01/08/19;133.33;0
BOLZANO;87;113;01/09/19;129.89;0
BOLZANO;87;118;01/10/19;135.63;0
BOLZANO;87;114;01/11/19;131.03;0
BOLZANO;87;109;01/12/19;125.29;0
BOLZANO;87;112;01/01/20;128.74;0
BOLZANO;87;107;01/02/20;122.99;0
BOLZANO;87;92;01/03/20;105.75;0
BOLZANO;87;88;01/04/20;101.15;0
BOLZANO;87;90;01/05/20;103.45;0
BOLZANO;87;85;01/06/20;97.7;0
BOLZANO;87;87;01/07/20;100.0;0
BOLZANO;87;91;01/08/20;104.6;0
BOLZANO;87;93;01/09/20;106.9;0
BOLZANO;88;109;01/10/20;123.86;0
BOLZANO;88;96;01/11/20;109.09;0
BOLZANO;88;98;01/12/20;111.36;0
BOLZANO;88;105;01/01/21;119.32;0
BOLZANO;88;102;01/02/21;115.91;0
BOLZANO;88;106;01/03/21;120.45;0
BOLZANO;88;106;01/04/21;120.45;0
BOLZANO;88;105;01/05/21;119.32;0
BOLZANO;88;104;01/06/21;118.18;0
BOLZANO;88;102;01/07/21;115.91;0
BOLZANO;88;102;01/08/21;115.91;0
BOLZANO;88;106;01/09/21;120.45;0
BOLZANO;88;112;01/10/21;127.27;0
BOLZANO;88;104;01/11/21;118.18;1
BOLZANO;88;117;01/12/21;132.95;0
BOLZANO;88;108;01/01/22;122.73;0
BOLZANO;88;104;01/02/22;118.18;0
BOLZANO;88;116;01/03/22;131.82;0
BOLZANO;88;106;01/04/22;120.45;0
BOLZANO;88;108;01/05/22;122.73;0
BOLZANO;88;107;01/06/22;121.59;0
BOLZANO;88;103;01/07/22;117.05;0
BOLZANO;88;107;01/08/22;121.59;0
BOLZANO;88;115;01/09/22;130.68;0
BOLZANO;88;105;01/10/22;119.32;0
BOLZANO;88;115;01/11/22;130.68;0
BOLZANO;88;105;01/12/22;119.32;0
BOLZANO;88;109;01/01/23;123.86;0
BOLZANO;88;104;01/02/23;118.18;0
BOLZANO;88;112;01/03/23;127.27;0
BOLZANO;88;123;01/04/23;139.77;0
BOLZANO;88;120;01/05/23;136.36;0
BOLZANO;88;119;01/06/23;135.23;0
BOLZANO;88;112;01/07/23;127.27;0
BOLZANO;88;114;01/08/23;129.55;0
BOLZANO;88;110;01/09/23;125.0;0
BOLZANO;88;117;01/10/23;132.95;0
BOLZANO;88;119;01/11/23;135.23;0
BOLZANO;88;115;01/12/23;130.68;0
BOLZANO;88;117;01/01/24;132.95;0
BOLZANO;88;121;01/02/24;137.5;0
BOLZANO;88;115;01/03/24;130.68;0
BOLZANO;88;111;01/04/24;126.14;0
BOLZANO;88;110;01/05/24;125.0;0
BOLZANO;88;105;01/06/24;119.32;0
BOLZANO;95;104;01/07/24;109.47;0
BOLZANO;95;100;01/08/24;105.26;0
BOLZANO;88;103;01/09/24;117.05;0
BOLZANO;88;109;01/10/24;123.86;0
BOLZANO;88;116;01/11/24;131.82;0
BOLZANO;88;121;01/12/24;137.5;0
BOLZANO;88;121;01/01/25;137.5;0
BOLZANO;88;123;01/02/25;139.77;0
BOLZANO;88;119;01/03/25;135.23;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;381;01/09/19;201.59;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;376;01/10/19;198.94;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;353;01/11/19;186.77;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;323;01/12/19;170.9;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;343;01/01/20;181.48;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;366;01/02/20;193.65;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;331;01/03/20;175.13;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;274;01/04/20;144.97;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;262;01/05/20;140.86;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;281;01/06/20;151.08;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;281;01/07/20;151.08;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;314;01/08/20;168.82;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;331;01/09/20;177.96;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;353;01/10/20;189.78;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;342;01/11/20;183.87;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;324;01/12/20;174.19;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;340;01/01/21;182.8;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";186;357;01/02/21;191.94;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;353;01/03/21;186.77;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;367;01/04/21;194.18;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;361;01/05/21;191.01;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;378;01/06/21;200.0;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;357;01/07/21;188.89;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;369;01/08/21;195.24;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;375;01/09/21;198.41;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;374;01/10/21;197.88;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;367;01/11/21;194.18;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;354;01/12/21;187.3;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;350;01/01/22;185.19;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;328;01/02/22;173.54;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;350;01/03/22;185.19;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;334;01/04/22;176.72;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;316;01/05/22;167.2;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;322;01/06/22;170.37;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;313;01/07/22;165.61;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;309;01/08/22;163.49;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;316;01/09/22;167.2;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;296;01/10/22;156.61;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";188;303;01/11/22;161.17;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;281;01/12/22;151.89;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;296;01/01/23;160.0;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;286;01/02/23;154.59;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;290;01/03/23;156.76;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;303;01/04/23;163.78;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;324;01/05/23;175.14;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;335;01/06/23;181.08;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;342;01/07/23;184.86;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;359;01/08/23;194.05;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;356;01/09/23;192.43;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;376;01/10/23;203.24;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";185;371;01/11/23;200.54;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;377;01/12/23;207.14;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;397;01/01/24;218.13;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;387;01/02/24;212.64;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;381;01/03/24;209.34;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;377;01/04/24;207.14;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;370;01/05/24;203.3;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;384;01/06/24;210.99;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;385;01/07/24;211.54;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;374;01/08/24;205.49;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;380;01/09/24;208.79;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;377;01/10/24;207.14;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;367;01/11/24;201.65;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;389;01/12/24;213.74;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;372;01/01/25;204.4;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;370;01/02/25;203.3;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";182;363;01/03/25;199.45;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;355;01/01/19;187.83;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;354;01/02/19;187.3;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;358;01/03/19;189.42;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;365;01/04/19;193.12;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;369;01/05/19;195.24;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;380;01/06/19;201.06;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;389;01/07/19;205.82;0
"BRESCIA ""N. FISCHIONE"" CANTON MONBELLO";189;375;01/08/19;198.41;0
"BRESCIA ""VERZIANO""";72;133;01/01/19;184.72;0
"BRESCIA ""VERZIANO""";72;130;01/02/19;180.56;0
"BRESCIA ""VERZIANO""";72;131;01/03/19;181.94;0
"BRESCIA ""VERZIANO""";72;135;01/04/19;187.5;0
"BRESCIA ""VERZIANO""";72;134;01/05/19;186.11;0
"BRESCIA ""VERZIANO""";72;123;01/06/19;170.83;0
"BRESCIA ""VERZIANO""";72;132;01/07/19;183.33;0
"BRESCIA ""VERZIANO""";72;128;01/08/19;177.78;0
"BRESCIA ""VERZIANO""";72;128;01/09/19;177.78;0
"BRESCIA ""VERZIANO""";72;131;01/10/19;181.94;0
"BRESCIA ""VERZIANO""";72;128;01/11/19;177.78;0
"BRESCIA ""VERZIANO""";71;130;01/12/19;183.1;0
"BRESCIA ""VERZIANO""";71;130;01/01/20;183.1;0
"BRESCIA ""VERZIANO""";71;133;01/02/20;187.32;0
